experiment,dataset,model,batch_size,optimizer,learning_rate,pin_memory,epochs,test_acc,best_val_acc,final_train_acc,training_time_sec
MNIST_ResNet-18_BS16_SGD_LR0.001_PMFalse_EP2,MNIST,ResNet-18,16,SGD,0.001,False,2,98.7,98.97142857142858,98.01836734693877,114.69907021522522
MNIST_ResNet-18_BS16_SGD_LR0.001_PMFalse_EP5,MNIST,ResNet-18,16,SGD,0.001,False,5,99.23571428571428,99.3,98.92448979591836,276.0492169857025
MNIST_ResNet-18_BS16_SGD_LR0.001_PMTrue_EP2,MNIST,ResNet-18,16,SGD,0.001,True,2,98.71428571428571,98.88571428571429,97.99183673469388,96.93645739555359
MNIST_ResNet-18_BS16_SGD_LR0.001_PMTrue_EP5,MNIST,ResNet-18,16,SGD,0.001,True,5,99.3,99.3,98.91224489795918,229.88298225402832
MNIST_ResNet-18_BS16_SGD_LR0.0001_PMFalse_EP2,MNIST,ResNet-18,16,SGD,0.0001,False,2,94.02857142857142,94.37142857142857,90.57551020408164,112.43891978263855
MNIST_ResNet-18_BS16_SGD_LR0.0001_PMFalse_EP5,MNIST,ResNet-18,16,SGD,0.0001,False,5,97.97857142857143,98.17142857142858,96.64285714285714,272.8817706108093
MNIST_ResNet-18_BS16_SGD_LR0.0001_PMTrue_EP2,MNIST,ResNet-18,16,SGD,0.0001,True,2,94.1,94.34285714285714,90.59387755102041,96.07134675979614
MNIST_ResNet-18_BS16_SGD_LR0.0001_PMTrue_EP5,MNIST,ResNet-18,16,SGD,0.0001,True,5,98.01428571428572,98.27142857142857,96.65306122448979,231.32744526863098
MNIST_ResNet-18_BS16_Adam_LR0.001_PMFalse_EP2,MNIST,ResNet-18,16,Adam,0.001,False,2,97.36428571428571,97.57142857142857,96.97755102040816,117.82885336875916
MNIST_ResNet-18_BS16_Adam_LR0.001_PMFalse_EP5,MNIST,ResNet-18,16,Adam,0.001,False,5,98.64285714285714,98.65714285714286,98.33469387755102,284.37764286994934
MNIST_ResNet-18_BS16_Adam_LR0.001_PMTrue_EP2,MNIST,ResNet-18,16,Adam,0.001,True,2,98.00714285714285,98.18571428571428,96.9734693877551,100.81121015548706
MNIST_ResNet-18_BS16_Adam_LR0.001_PMTrue_EP5,MNIST,ResNet-18,16,Adam,0.001,True,5,98.57857142857142,98.74285714285715,98.31224489795919,241.48656225204468
MNIST_ResNet-18_BS16_Adam_LR0.0001_PMFalse_EP2,MNIST,ResNet-18,16,Adam,0.0001,False,2,98.89285714285714,98.87142857142857,98.32857142857142,118.46016597747803
MNIST_ResNet-18_BS16_Adam_LR0.0001_PMFalse_EP5,MNIST,ResNet-18,16,Adam,0.0001,False,5,99.04285714285714,99.21428571428571,98.86734693877551,284.6585576534271
MNIST_ResNet-18_BS16_Adam_LR0.0001_PMTrue_EP2,MNIST,ResNet-18,16,Adam,0.0001,True,2,98.93571428571428,98.8,98.38775510204081,100.84598350524902
MNIST_ResNet-18_BS16_Adam_LR0.0001_PMTrue_EP5,MNIST,ResNet-18,16,Adam,0.0001,True,5,98.94285714285714,99.21428571428571,98.86734693877551,241.19250059127808
MNIST_ResNet-18_BS32_SGD_LR0.001_PMFalse_EP2,MNIST,ResNet-18,32,SGD,0.001,False,2,97.87857142857143,97.95714285714286,97.50204081632653,88.33713841438293
MNIST_ResNet-18_BS32_SGD_LR0.001_PMFalse_EP5,MNIST,ResNet-18,32,SGD,0.001,False,5,99.00714285714285,99.21428571428571,98.83469387755102,212.70917439460754
MNIST_ResNet-18_BS32_SGD_LR0.001_PMTrue_EP2,MNIST,ResNet-18,32,SGD,0.001,True,2,97.77142857142857,98.31428571428572,97.51020408163265,67.63153052330017
MNIST_ResNet-18_BS32_SGD_LR0.001_PMTrue_EP5,MNIST,ResNet-18,32,SGD,0.001,True,5,98.97857142857143,99.22857142857143,98.79591836734694,163.12629103660583
MNIST_ResNet-18_BS32_SGD_LR0.0001_PMFalse_EP2,MNIST,ResNet-18,32,SGD,0.0001,False,2,89.89285714285714,90.64285714285714,79.38367346938776,88.50576281547546
MNIST_ResNet-18_BS32_SGD_LR0.0001_PMFalse_EP5,MNIST,ResNet-18,32,SGD,0.0001,False,5,96.76428571428572,96.72857142857143,95.00408163265305,214.1864845752716
MNIST_ResNet-18_BS32_SGD_LR0.0001_PMTrue_EP2,MNIST,ResNet-18,32,SGD,0.0001,True,2,90.65714285714286,91.31428571428572,79.43469387755103,68.14572858810425
MNIST_ResNet-18_BS32_SGD_LR0.0001_PMTrue_EP5,MNIST,ResNet-18,32,SGD,0.0001,True,5,96.82857142857142,97.01428571428572,94.98775510204082,162.84940600395203
MNIST_ResNet-18_BS32_Adam_LR0.001_PMFalse_EP2,MNIST,ResNet-18,32,Adam,0.001,False,2,96.08571428571429,96.08571428571429,97.4,90.51042628288269
MNIST_ResNet-18_BS32_Adam_LR0.001_PMFalse_EP5,MNIST,ResNet-18,32,Adam,0.001,False,5,98.85,99.04285714285714,98.29591836734694,219.82399582862854
MNIST_ResNet-18_BS32_Adam_LR0.001_PMTrue_EP2,MNIST,ResNet-18,32,Adam,0.001,True,2,95.26428571428572,95.68571428571428,97.35510204081632,70.7585096359253
MNIST_ResNet-18_BS32_Adam_LR0.001_PMTrue_EP5,MNIST,ResNet-18,32,Adam,0.001,True,5,98.58571428571429,98.8,98.34285714285714,168.67467427253723
MNIST_ResNet-18_BS32_Adam_LR0.0001_PMFalse_EP2,MNIST,ResNet-18,32,Adam,0.0001,False,2,98.56428571428572,98.78571428571429,98.46122448979592,89.6578061580658
MNIST_ResNet-18_BS32_Adam_LR0.0001_PMFalse_EP5,MNIST,ResNet-18,32,Adam,0.0001,False,5,99.22142857142858,99.25714285714285,98.97142857142858,217.7536473274231
MNIST_ResNet-18_BS32_Adam_LR0.0001_PMTrue_EP2,MNIST,ResNet-18,32,Adam,0.0001,True,2,98.57142857142857,98.75714285714285,98.42448979591836,70.76237535476685
