experiment,dataset,pca_components,variance_retained,kernel,C,gamma,degree,test_accuracy,training_time_ms,n_support_vectors
MNIST_PCA50_poly_C0.1_gscale_d2,MNIST,50,55.07012,poly,0.1,scale,2.0,94.69999999999999,41645.73526382446,23415
MNIST_PCA50_poly_C0.1_gscale_d3,MNIST,50,55.07012,poly,0.1,scale,3.0,93.32000000000001,61894.59586143494,26772
MNIST_PCA50_poly_C0.1_gscale_d4,MNIST,50,55.07012,poly,0.1,scale,4.0,84.57000000000001,102355.21793365479,33700
MNIST_PCA50_poly_C0.1_gauto_d2,MNIST,50,55.07012,poly,0.1,auto,2.0,97.24000000000001,11718.10793876648,8750
MNIST_PCA50_poly_C0.1_gauto_d3,MNIST,50,55.07012,poly,0.1,auto,3.0,97.2,12681.639909744263,8674
MNIST_PCA50_poly_C0.1_gauto_d4,MNIST,50,55.07012,poly,0.1,auto,4.0,96.34,16949.541330337524,10069
MNIST_PCA50_poly_C0.1_g0.001_d2,MNIST,50,55.07012,poly,0.1,0.001,2.0,89.7,94132.97963142395,38137
MNIST_PCA50_poly_C0.1_g0.001_d3,MNIST,50,55.07012,poly,0.1,0.001,3.0,69.72,167200.21271705627,49582
MNIST_PCA50_poly_C0.1_g0.001_d4,MNIST,50,55.07012,poly,0.1,0.001,4.0,28.17,205810.37616729736,54473
MNIST_PCA50_poly_C0.1_g0.01_d2,MNIST,50,55.07012,poly,0.1,0.01,2.0,96.84,14818.219661712646,11337
MNIST_PCA50_poly_C0.1_g0.01_d3,MNIST,50,55.07012,poly,0.1,0.01,3.0,97.19,14887.149333953857,10040
MNIST_PCA50_poly_C0.1_g0.01_d4,MNIST,50,55.07012,poly,0.1,0.01,4.0,96.41,19182.491302490234,10911
MNIST_PCA50_poly_C1_gscale_d2,MNIST,50,55.07012,poly,1.0,scale,2.0,96.65,16943.689346313477,12596
MNIST_PCA50_poly_C1_gscale_d3,MNIST,50,55.07012,poly,1.0,scale,3.0,96.61,23788.78116607666,14277
MNIST_PCA50_poly_C1_gscale_d4,MNIST,50,55.07012,poly,1.0,scale,4.0,94.17999999999999,42941.72644615173,18999
MNIST_PCA50_poly_C1_gauto_d2,MNIST,50,55.07012,poly,1.0,auto,2.0,96.69,11414.842367172241,7082
MNIST_PCA50_poly_C1_gauto_d3,MNIST,50,55.07012,poly,1.0,auto,3.0,96.92,13159.086227416992,8480
MNIST_PCA50_poly_C1_gauto_d4,MNIST,50,55.07012,poly,1.0,auto,4.0,96.22,17832.279443740845,10122
MNIST_PCA50_poly_C1_g0.001_d2,MNIST,50,55.07012,poly,1.0,0.001,2.0,95.34,35454.286098480225,20666
MNIST_PCA50_poly_C1_g0.001_d3,MNIST,50,55.07012,poly,1.0,0.001,3.0,91.56,79272.50528335571,30539
MNIST_PCA50_poly_C1_g0.001_d4,MNIST,50,55.07012,poly,1.0,0.001,4.0,71.89,155320.16348838806,44259
MNIST_PCA50_poly_C1_g0.01_d2,MNIST,50,55.07012,poly,1.0,0.01,2.0,97.08,11335.797786712646,7776
