device,model,optimizer,batch_size,learning_rate,test_accuracy,train_time_ms,flops,flops_str,best_val_acc
CPU,ResNet-18,SGD,16,0.001,91.06428571428572,3561202.4517059326,148864512.0,148.865M,91.2
CPU,ResNet-32,SGD,16,0.001,90.87142857142857,2727965.38066864,285825792.0,285.826M,91.18571428571428
CPU,ResNet-50,SGD,16,0.001,89.74285714285715,6214446.2904930115,337303552.0,337.304M,89.92857142857143
CPU,ResNet-18,Adam,16,0.001,90.18571428571428,3998668.572664261,148864512.0,148.865M,90.51428571428572
CPU,ResNet-32,Adam,16,0.001,90.15,2940159.5335006714,285825792.0,285.826M,90.34285714285714
CPU,ResNet-50,Adam,16,0.001,88.57857142857142,7015000.501394272,337303552.0,337.304M,88.31428571428572
GPU,ResNet-18,SGD,16,0.001,91.18571428571428,156974.9584197998,148864512.0,148.865M,91.32857142857142
GPU,ResNet-32,SGD,16,0.001,91.14285714285714,223410.42733192444,285825792.0,285.826M,91.11428571428571
GPU,ResNet-50,SGD,16,0.001,90.24285714285715,330348.6475944519,337303552.0,337.304M,89.81428571428572
GPU,ResNet-18,Adam,16,0.001,89.89285714285714,167923.1071472168,148864512.0,148.865M,90.57142857142857
GPU,ResNet-32,Adam,16,0.001,90.06428571428572,239122.43485450745,285825792.0,285.826M,90.0
GPU,ResNet-50,Adam,16,0.001,88.82857142857142,352534.30700302124,337303552.0,337.304M,88.81428571428572
